Cell Name/Pin, Capacitance, Direction
sky130_fd_sc_hd__a2111o_1/A1,0.0024790000,input
sky130_fd_sc_hd__a2111o_1/A2,0.0023580000,input
sky130_fd_sc_hd__a2111o_1/B1,0.0024650000,input
sky130_fd_sc_hd__a2111o_1/C1,0.0024250000,input
sky130_fd_sc_hd__a2111o_1/D1,0.0023920000,input
sky130_fd_sc_hd__a2111o_1/X,0.1849460000,output
sky130_fd_sc_hd__a2111o_2/A1,0.0025260000,input
sky130_fd_sc_hd__a2111o_2/A2,0.0024610000,input
sky130_fd_sc_hd__a2111o_2/B1,0.0023860000,input
sky130_fd_sc_hd__a2111o_2/C1,0.0025020000,input
sky130_fd_sc_hd__a2111o_2/D1,0.0024650000,input
sky130_fd_sc_hd__a2111o_2/X,0.3405860000,output
sky130_fd_sc_hd__a2111o_4/A1,0.0044080000,input
sky130_fd_sc_hd__a2111o_4/A2,0.0046040000,input
sky130_fd_sc_hd__a2111o_4/B1,0.0045710000,input
sky130_fd_sc_hd__a2111o_4/C1,0.0044840000,input
sky130_fd_sc_hd__a2111o_4/D1,0.0043850000,input
sky130_fd_sc_hd__a2111o_4/X,0.5658060000,output
sky130_fd_sc_hd__a2111oi_0/A1,0.0019370000,input
sky130_fd_sc_hd__a2111oi_0/A2,0.0018930000,input
sky130_fd_sc_hd__a2111oi_0/B1,0.0017860000,input
sky130_fd_sc_hd__a2111oi_0/C1,0.0019310000,input
sky130_fd_sc_hd__a2111oi_0/D1,0.0018050000,input
sky130_fd_sc_hd__a2111oi_0/Y,0.0210670000,output
sky130_fd_sc_hd__a2111oi_1/A1,0.0023510000,input
sky130_fd_sc_hd__a2111oi_1/A2,0.0024180000,input
sky130_fd_sc_hd__a2111oi_1/B1,0.0024580000,input
sky130_fd_sc_hd__a2111oi_1/C1,0.0024790000,input
sky130_fd_sc_hd__a2111oi_1/D1,0.0024990000,input
sky130_fd_sc_hd__a2111oi_1/Y,0.0329690000,output
sky130_fd_sc_hd__a2111oi_2/A1,0.0049400000,input
sky130_fd_sc_hd__a2111oi_2/A2,0.0046110000,input
sky130_fd_sc_hd__a2111oi_2/B1,0.0044720000,input
sky130_fd_sc_hd__a2111oi_2/C1,0.0048370000,input
sky130_fd_sc_hd__a2111oi_2/D1,0.0044940000,input
sky130_fd_sc_hd__a2111oi_2/Y,0.0595190000,output
sky130_fd_sc_hd__a2111oi_4/A1,0.0086650000,input
sky130_fd_sc_hd__a2111oi_4/A2,0.0090000000,input
sky130_fd_sc_hd__a2111oi_4/B1,0.0086700000,input
sky130_fd_sc_hd__a2111oi_4/C1,0.0085590000,input
sky130_fd_sc_hd__a2111oi_4/D1,0.0086180000,input
sky130_fd_sc_hd__a2111oi_4/Y,0.1107890000,output
sky130_fd_sc_hd__a211o_1/A1,0.0024830000,input
sky130_fd_sc_hd__a211o_1/A2,0.0025020000,input
sky130_fd_sc_hd__a211o_1/B1,0.0024340000,input
sky130_fd_sc_hd__a211o_1/C1,0.0023820000,input
sky130_fd_sc_hd__a211o_1/X,0.1849460000,output
sky130_fd_sc_hd__a211o_2/A1,0.0024120000,input
sky130_fd_sc_hd__a211o_2/A2,0.0024480000,input
sky130_fd_sc_hd__a211o_2/B1,0.0024180000,input
sky130_fd_sc_hd__a211o_2/C1,0.0023760000,input
sky130_fd_sc_hd__a211o_2/X,0.3396710000,output
sky130_fd_sc_hd__a211o_4/A1,0.0044840000,input
sky130_fd_sc_hd__a211o_4/A2,0.0049270000,input
sky130_fd_sc_hd__a211o_4/B1,0.0049680000,input
sky130_fd_sc_hd__a211o_4/C1,0.0045190000,input
sky130_fd_sc_hd__a211o_4/X,0.5859470000,output
sky130_fd_sc_hd__a211oi_1/A1,0.0024820000,input
sky130_fd_sc_hd__a211oi_1/A2,0.0024440000,input
sky130_fd_sc_hd__a211oi_1/B1,0.0024640000,input
sky130_fd_sc_hd__a211oi_1/C1,0.0024030000,input
sky130_fd_sc_hd__a211oi_1/Y,0.0503640000,output
sky130_fd_sc_hd__a211oi_2/A1,0.0044950000,input
sky130_fd_sc_hd__a211oi_2/A2,0.0045260000,input
sky130_fd_sc_hd__a211oi_2/B1,0.0044370000,input
sky130_fd_sc_hd__a211oi_2/C1,0.0044140000,input
sky130_fd_sc_hd__a211oi_2/Y,0.0933940000,output
sky130_fd_sc_hd__a211oi_4/A1,0.0087190000,input
sky130_fd_sc_hd__a211oi_4/A2,0.0094040000,input
sky130_fd_sc_hd__a211oi_4/B1,0.0093360000,input
sky130_fd_sc_hd__a211oi_4/C1,0.0087530000,input
sky130_fd_sc_hd__a211oi_4/Y,0.1501560000,output
sky130_fd_sc_hd__a21bo_1/A1,0.0024910000,input
sky130_fd_sc_hd__a21bo_1/A2,0.0025130000,input
sky130_fd_sc_hd__a21bo_1/B1_N,0.0017650000,input
sky130_fd_sc_hd__a21bo_1/X,0.1913550000,output
sky130_fd_sc_hd__a21bo_2/A1,0.0024560000,input
sky130_fd_sc_hd__a21bo_2/A2,0.0024400000,input
sky130_fd_sc_hd__a21bo_2/B1_N,0.0013630000,input
sky130_fd_sc_hd__a21bo_2/X,0.3021340000,output
sky130_fd_sc_hd__a21bo_4/A1,0.0045330000,input
sky130_fd_sc_hd__a21bo_4/A2,0.0049360000,input
sky130_fd_sc_hd__a21bo_4/B1_N,0.0024390000,input
sky130_fd_sc_hd__a21bo_4/X,0.4962260000,output
sky130_fd_sc_hd__a21boi_0/A1,0.0018440000,input
sky130_fd_sc_hd__a21boi_0/A2,0.0017660000,input
sky130_fd_sc_hd__a21boi_0/B1_N,0.0016550000,input
sky130_fd_sc_hd__a21boi_0/Y,0.0485330000,output
sky130_fd_sc_hd__a21boi_1/A1,0.0023960000,input
sky130_fd_sc_hd__a21boi_1/A2,0.0023800000,input
sky130_fd_sc_hd__a21boi_1/B1_N,0.0016690000,input
sky130_fd_sc_hd__a21boi_1/Y,0.0787450000,output
sky130_fd_sc_hd__a21boi_2/A1,0.0045640000,input
sky130_fd_sc_hd__a21boi_2/A2,0.0049330000,input
sky130_fd_sc_hd__a21boi_2/B1_N,0.0015770000,input
sky130_fd_sc_hd__a21boi_2/Y,0.1355080000,output
sky130_fd_sc_hd__a21boi_4/A1,0.0088190000,input
sky130_fd_sc_hd__a21boi_4/A2,0.0095130000,input
sky130_fd_sc_hd__a21boi_4/B1_N,0.0025340000,input
sky130_fd_sc_hd__a21boi_4/Y,0.2261450000,output
sky130_fd_sc_hd__a21o_1/A1,0.0024560000,input
sky130_fd_sc_hd__a21o_1/A2,0.0024060000,input
sky130_fd_sc_hd__a21o_1/B1,0.0024770000,input
sky130_fd_sc_hd__a21o_1/X,0.1858620000,output
sky130_fd_sc_hd__a21o_2/A1,0.0024220000,input
sky130_fd_sc_hd__a21o_2/A2,0.0023830000,input
sky130_fd_sc_hd__a21o_2/B1,0.0024350000,input
sky130_fd_sc_hd__a21o_2/X,0.3231910000,output
sky130_fd_sc_hd__a21o_4/A1,0.0045230000,input
sky130_fd_sc_hd__a21o_4/A2,0.0049450000,input
sky130_fd_sc_hd__a21o_4/B1,0.0045290000,input
sky130_fd_sc_hd__a21o_4/X,0.5987650000,output
sky130_fd_sc_hd__a21oi_1/A1,0.0024140000,input
sky130_fd_sc_hd__a21oi_1/A2,0.0023900000,input
sky130_fd_sc_hd__a21oi_1/B1,0.0023770000,input
sky130_fd_sc_hd__a21oi_1/Y,0.0769140000,output
sky130_fd_sc_hd__a21oi_2/A1,0.0045640000,input
sky130_fd_sc_hd__a21oi_2/A2,0.0049750000,input
sky130_fd_sc_hd__a21oi_2/B1,0.0045150000,input
sky130_fd_sc_hd__a21oi_2/Y,0.1345920000,output
sky130_fd_sc_hd__a21oi_4/A1,0.0088100000,input
sky130_fd_sc_hd__a21oi_4/A2,0.0095170000,input
sky130_fd_sc_hd__a21oi_4/B1,0.0087960000,input
sky130_fd_sc_hd__a21oi_4/Y,0.2325540000,output
sky130_fd_sc_hd__a221o_1/A1,0.0024050000,input
sky130_fd_sc_hd__a221o_1/A2,0.0024310000,input
sky130_fd_sc_hd__a221o_1/B1,0.0024190000,input
sky130_fd_sc_hd__a221o_1/B2,0.0024300000,input
sky130_fd_sc_hd__a221o_1/C1,0.0023280000,input
sky130_fd_sc_hd__a221o_1/X,0.1675510000,output
sky130_fd_sc_hd__a221o_2/A1,0.0023880000,input
sky130_fd_sc_hd__a221o_2/A2,0.0024190000,input
sky130_fd_sc_hd__a221o_2/B1,0.0023990000,input
sky130_fd_sc_hd__a221o_2/B2,0.0024180000,input
sky130_fd_sc_hd__a221o_2/C1,0.0023040000,input
sky130_fd_sc_hd__a221o_2/X,0.3167820000,output
sky130_fd_sc_hd__a221o_4/A1,0.0046060000,input
sky130_fd_sc_hd__a221o_4/A2,0.0044950000,input
sky130_fd_sc_hd__a221o_4/B1,0.0043210000,input
sky130_fd_sc_hd__a221o_4/B2,0.0043770000,input
sky130_fd_sc_hd__a221o_4/C1,0.0043900000,input
sky130_fd_sc_hd__a221o_4/X,0.5712990000,output
sky130_fd_sc_hd__a221oi_1/A1,0.0023690000,input
sky130_fd_sc_hd__a221oi_1/A2,0.0023730000,input
sky130_fd_sc_hd__a221oi_1/B1,0.0023750000,input
sky130_fd_sc_hd__a221oi_1/B2,0.0024020000,input
sky130_fd_sc_hd__a221oi_1/C1,0.0022970000,input
sky130_fd_sc_hd__a221oi_1/Y,0.0567730000,output
sky130_fd_sc_hd__a221oi_2/A1,0.0044200000,input
sky130_fd_sc_hd__a221oi_2/A2,0.0049040000,input
sky130_fd_sc_hd__a221oi_2/B1,0.0043670000,input
sky130_fd_sc_hd__a221oi_2/B2,0.0048780000,input
sky130_fd_sc_hd__a221oi_2/C1,0.0043740000,input
sky130_fd_sc_hd__a221oi_2/Y,0.0998020000,output
sky130_fd_sc_hd__a221oi_4/A1,0.0086460000,input
sky130_fd_sc_hd__a221oi_4/A2,0.0094440000,input
sky130_fd_sc_hd__a221oi_4/B1,0.0084810000,input
sky130_fd_sc_hd__a221oi_4/B2,0.0090410000,input
sky130_fd_sc_hd__a221oi_4/C1,0.0085850000,input
sky130_fd_sc_hd__a221oi_4/Y,0.1748760000,output
sky130_fd_sc_hd__a222oi_1/A1,0.0022730000,input
sky130_fd_sc_hd__a222oi_1/A2,0.0023170000,input
sky130_fd_sc_hd__a222oi_1/B1,0.0022880000,input
sky130_fd_sc_hd__a222oi_1/B2,0.0023520000,input
sky130_fd_sc_hd__a222oi_1/C1,0.0023000000,input
sky130_fd_sc_hd__a222oi_1/C2,0.0023450000,input
sky130_fd_sc_hd__a222oi_1/Y,0.0677590000,output
sky130_fd_sc_hd__a22o_1/A1,0.0024120000,input
sky130_fd_sc_hd__a22o_1/A2,0.0024720000,input
sky130_fd_sc_hd__a22o_1/B1,0.0024240000,input
sky130_fd_sc_hd__a22o_1/B2,0.0023810000,input
sky130_fd_sc_hd__a22o_1/X,0.1675510000,output
sky130_fd_sc_hd__a22o_2/A1,0.0023970000,input
sky130_fd_sc_hd__a22o_2/A2,0.0024470000,input
sky130_fd_sc_hd__a22o_2/B1,0.0024110000,input
sky130_fd_sc_hd__a22o_2/B2,0.0023770000,input
sky130_fd_sc_hd__a22o_2/X,0.3176980000,output
sky130_fd_sc_hd__a22o_4/A1,0.0044570000,input
sky130_fd_sc_hd__a22o_4/A2,0.0049330000,input
sky130_fd_sc_hd__a22o_4/B1,0.0044270000,input
sky130_fd_sc_hd__a22o_4/B2,0.0049730000,input
sky130_fd_sc_hd__a22o_4/X,0.5850320000,output
sky130_fd_sc_hd__a22oi_1/A1,0.0024180000,input
sky130_fd_sc_hd__a22oi_1/A2,0.0024450000,input
sky130_fd_sc_hd__a22oi_1/B1,0.0023840000,input
sky130_fd_sc_hd__a22oi_1/B2,0.0023750000,input
sky130_fd_sc_hd__a22oi_1/Y,0.0924780000,output
sky130_fd_sc_hd__a22oi_2/A1,0.0043780000,input
sky130_fd_sc_hd__a22oi_2/A2,0.0044960000,input
sky130_fd_sc_hd__a22oi_2/B1,0.0043250000,input
sky130_fd_sc_hd__a22oi_2/B2,0.0043690000,input
sky130_fd_sc_hd__a22oi_2/Y,0.1785380000,output
sky130_fd_sc_hd__a22oi_4/A1,0.0085490000,input
sky130_fd_sc_hd__a22oi_4/A2,0.0088920000,input
sky130_fd_sc_hd__a22oi_4/B1,0.0085290000,input
sky130_fd_sc_hd__a22oi_4/B2,0.0087530000,input
sky130_fd_sc_hd__a22oi_4/Y,0.3103740000,output
sky130_fd_sc_hd__a2bb2o_1/A1_N,0.0014080000,input
sky130_fd_sc_hd__a2bb2o_1/A2_N,0.0014620000,input
sky130_fd_sc_hd__a2bb2o_1/B1,0.0015240000,input
sky130_fd_sc_hd__a2bb2o_1/B2,0.0015960000,input
sky130_fd_sc_hd__a2bb2o_1/X,0.1648050000,output
sky130_fd_sc_hd__a2bb2o_2/A1_N,0.0016960000,input
sky130_fd_sc_hd__a2bb2o_2/A2_N,0.0017420000,input
sky130_fd_sc_hd__a2bb2o_2/B1,0.0017710000,input
sky130_fd_sc_hd__a2bb2o_2/B2,0.0018390000,input
sky130_fd_sc_hd__a2bb2o_2/X,0.3158670000,output
sky130_fd_sc_hd__a2bb2o_4/A1_N,0.0050290000,input
sky130_fd_sc_hd__a2bb2o_4/A2_N,0.0045380000,input
sky130_fd_sc_hd__a2bb2o_4/B1,0.0049140000,input
sky130_fd_sc_hd__a2bb2o_4/B2,0.0044850000,input
sky130_fd_sc_hd__a2bb2o_4/X,0.5310160000,output
sky130_fd_sc_hd__a2bb2oi_1/A1_N,0.0024440000,input
sky130_fd_sc_hd__a2bb2oi_1/A2_N,0.0025340000,input
sky130_fd_sc_hd__a2bb2oi_1/B1,0.0024110000,input
sky130_fd_sc_hd__a2bb2oi_1/B2,0.0024800000,input
sky130_fd_sc_hd__a2bb2oi_1/Y,0.0723370000,output
sky130_fd_sc_hd__a2bb2oi_2/A1_N,0.0047040000,input
sky130_fd_sc_hd__a2bb2oi_2/A2_N,0.0045390000,input
sky130_fd_sc_hd__a2bb2oi_2/B1,0.0049400000,input
sky130_fd_sc_hd__a2bb2oi_2/B2,0.0044530000,input
sky130_fd_sc_hd__a2bb2oi_2/Y,0.1364240000,output
sky130_fd_sc_hd__a2bb2oi_4/A1_N,0.0090290000,input
sky130_fd_sc_hd__a2bb2oi_4/A2_N,0.0089540000,input
sky130_fd_sc_hd__a2bb2oi_4/B1,0.0094530000,input
sky130_fd_sc_hd__a2bb2oi_4/B2,0.0087430000,input
sky130_fd_sc_hd__a2bb2oi_4/Y,0.2380470000,output
sky130_fd_sc_hd__a311o_1/A1,0.0023380000,input
sky130_fd_sc_hd__a311o_1/A2,0.0023710000,input
sky130_fd_sc_hd__a311o_1/A3,0.0024460000,input
sky130_fd_sc_hd__a311o_1/B1,0.0023940000,input
sky130_fd_sc_hd__a311o_1/C1,0.0023010000,input
sky130_fd_sc_hd__a311o_1/X,0.1510720000,output
sky130_fd_sc_hd__a311o_2/A1,0.0023390000,input
sky130_fd_sc_hd__a311o_2/A2,0.0023680000,input
sky130_fd_sc_hd__a311o_2/A3,0.0024120000,input
sky130_fd_sc_hd__a311o_2/B1,0.0023230000,input
sky130_fd_sc_hd__a311o_2/C1,0.0022760000,input
sky130_fd_sc_hd__a311o_2/X,0.3167820000,output
sky130_fd_sc_hd__a311o_4/A1,0.0043590000,input
sky130_fd_sc_hd__a311o_4/A2,0.0044440000,input
sky130_fd_sc_hd__a311o_4/A3,0.0045150000,input
sky130_fd_sc_hd__a311o_4/B1,0.0043770000,input
sky130_fd_sc_hd__a311o_4/C1,0.0043390000,input
sky130_fd_sc_hd__a311o_4/X,0.4742530000,output
sky130_fd_sc_hd__a311oi_1/A1,0.0024330000,input
sky130_fd_sc_hd__a311oi_1/A2,0.0024050000,input
sky130_fd_sc_hd__a311oi_1/A3,0.0023810000,input
sky130_fd_sc_hd__a311oi_1/B1,0.0023880000,input
sky130_fd_sc_hd__a311oi_1/C1,0.0023290000,input
sky130_fd_sc_hd__a311oi_1/Y,0.0467020000,output
sky130_fd_sc_hd__a311oi_2/A1,0.0045500000,input
sky130_fd_sc_hd__a311oi_2/A2,0.0044560000,input
sky130_fd_sc_hd__a311oi_2/A3,0.0045090000,input
sky130_fd_sc_hd__a311oi_2/B1,0.0044200000,input
sky130_fd_sc_hd__a311oi_2/C1,0.0043980000,input
sky130_fd_sc_hd__a311oi_2/Y,0.0879010000,output
sky130_fd_sc_hd__a311oi_4/A1,0.0086680000,input
sky130_fd_sc_hd__a311oi_4/A2,0.0086680000,input
sky130_fd_sc_hd__a311oi_4/A3,0.0088820000,input
sky130_fd_sc_hd__a311oi_4/B1,0.0084860000,input
sky130_fd_sc_hd__a311oi_4/C1,0.0086220000,input
sky130_fd_sc_hd__a311oi_4/Y,0.1400860000,output
sky130_fd_sc_hd__a31o_1/A1,0.0024070000,input
sky130_fd_sc_hd__a31o_1/A2,0.0024390000,input
sky130_fd_sc_hd__a31o_1/A3,0.0024570000,input
sky130_fd_sc_hd__a31o_1/B1,0.0023750000,input
sky130_fd_sc_hd__a31o_1/X,0.1702980000,output
sky130_fd_sc_hd__a31o_2/A1,0.0024350000,input
sky130_fd_sc_hd__a31o_2/A2,0.0024170000,input
sky130_fd_sc_hd__a31o_2/A3,0.0024500000,input
sky130_fd_sc_hd__a31o_2/B1,0.0023860000,input
sky130_fd_sc_hd__a31o_2/X,0.2829080000,output
sky130_fd_sc_hd__a31o_4/A1,0.0043920000,input
sky130_fd_sc_hd__a31o_4/A2,0.0048800000,input
sky130_fd_sc_hd__a31o_4/A3,0.0050680000,input
sky130_fd_sc_hd__a31o_4/B1,0.0045740000,input
sky130_fd_sc_hd__a31o_4/X,0.5236910000,output
sky130_fd_sc_hd__a31oi_1/A1,0.0023580000,input
sky130_fd_sc_hd__a31oi_1/A2,0.0024880000,input
sky130_fd_sc_hd__a31oi_1/A3,0.0023930000,input
sky130_fd_sc_hd__a31oi_1/B1,0.0023360000,input
sky130_fd_sc_hd__a31oi_1/Y,0.0686750000,output
sky130_fd_sc_hd__a31oi_2/A1,0.0045760000,input
sky130_fd_sc_hd__a31oi_2/A2,0.0044650000,input
sky130_fd_sc_hd__a31oi_2/A3,0.0045350000,input
sky130_fd_sc_hd__a31oi_2/B1,0.0044910000,input
sky130_fd_sc_hd__a31oi_2/Y,0.1245220000,output
sky130_fd_sc_hd__a31oi_4/A1,0.0086660000,input
sky130_fd_sc_hd__a31oi_4/A2,0.0086700000,input
sky130_fd_sc_hd__a31oi_4/A3,0.0089080000,input
sky130_fd_sc_hd__a31oi_4/B1,0.0087050000,input
sky130_fd_sc_hd__a31oi_4/Y,0.2206520000,output
sky130_fd_sc_hd__a32o_1/A1,0.0024110000,input
sky130_fd_sc_hd__a32o_1/A2,0.0024050000,input
sky130_fd_sc_hd__a32o_1/A3,0.0024310000,input
sky130_fd_sc_hd__a32o_1/B1,0.0024290000,input
sky130_fd_sc_hd__a32o_1/B2,0.0023290000,input
sky130_fd_sc_hd__a32o_1/X,0.1602270000,output
sky130_fd_sc_hd__a32o_2/A1,0.0023520000,input
sky130_fd_sc_hd__a32o_2/A2,0.0024100000,input
sky130_fd_sc_hd__a32o_2/A3,0.0023730000,input
sky130_fd_sc_hd__a32o_2/B1,0.0023350000,input
sky130_fd_sc_hd__a32o_2/B2,0.0025210000,input
sky130_fd_sc_hd__a32o_2/X,0.2764990000,output
sky130_fd_sc_hd__a32o_4/A1,0.0043890000,input
sky130_fd_sc_hd__a32o_4/A2,0.0044080000,input
sky130_fd_sc_hd__a32o_4/A3,0.0046080000,input
sky130_fd_sc_hd__a32o_4/B1,0.0044420000,input
sky130_fd_sc_hd__a32o_4/B2,0.0043770000,input
sky130_fd_sc_hd__a32o_4/X,0.5667210000,output
sky130_fd_sc_hd__a32oi_1/A1,0.0023680000,input
sky130_fd_sc_hd__a32oi_1/A2,0.0024160000,input
sky130_fd_sc_hd__a32oi_1/A3,0.0023790000,input
sky130_fd_sc_hd__a32oi_1/B1,0.0023890000,input
sky130_fd_sc_hd__a32oi_1/B2,0.0023600000,input
sky130_fd_sc_hd__a32oi_1/Y,0.0897320000,output
sky130_fd_sc_hd__a32oi_2/A1,0.0044690000,input
sky130_fd_sc_hd__a32oi_2/A2,0.0044520000,input
sky130_fd_sc_hd__a32oi_2/A3,0.0046200000,input
sky130_fd_sc_hd__a32oi_2/B1,0.0043150000,input
sky130_fd_sc_hd__a32oi_2/B2,0.0043990000,input
sky130_fd_sc_hd__a32oi_2/Y,0.1638890000,output
sky130_fd_sc_hd__a32oi_4/A1,0.0085740000,input
sky130_fd_sc_hd__a32oi_4/A2,0.0084750000,input
sky130_fd_sc_hd__a32oi_4/A3,0.0087800000,input
sky130_fd_sc_hd__a32oi_4/B1,0.0084150000,input
sky130_fd_sc_hd__a32oi_4/B2,0.0086700000,input
sky130_fd_sc_hd__a32oi_4/Y,0.2645970000,output
sky130_fd_sc_hd__a41o_1/A1,0.0023690000,input
sky130_fd_sc_hd__a41o_1/A2,0.0024250000,input
sky130_fd_sc_hd__a41o_1/A3,0.0024120000,input
sky130_fd_sc_hd__a41o_1/A4,0.0023780000,input
sky130_fd_sc_hd__a41o_1/B1,0.0024690000,input
sky130_fd_sc_hd__a41o_1/X,0.1730450000,output
sky130_fd_sc_hd__a41o_2/A1,0.0023380000,input
sky130_fd_sc_hd__a41o_2/A2,0.0023990000,input
sky130_fd_sc_hd__a41o_2/A3,0.0023900000,input
sky130_fd_sc_hd__a41o_2/A4,0.0024360000,input
sky130_fd_sc_hd__a41o_2/B1,0.0023980000,input
sky130_fd_sc_hd__a41o_2/X,0.3405860000,output
sky130_fd_sc_hd__a41o_4/A1,0.0043360000,input
sky130_fd_sc_hd__a41o_4/A2,0.0043510000,input
sky130_fd_sc_hd__a41o_4/A3,0.0045320000,input
sky130_fd_sc_hd__a41o_4/A4,0.0045400000,input
sky130_fd_sc_hd__a41o_4/B1,0.0046250000,input
sky130_fd_sc_hd__a41o_4/X,0.5877780000,output
sky130_fd_sc_hd__a41oi_1/A1,0.0022950000,input
sky130_fd_sc_hd__a41oi_1/A2,0.0023550000,input
sky130_fd_sc_hd__a41oi_1/A3,0.0023970000,input
sky130_fd_sc_hd__a41oi_1/A4,0.0024500000,input
sky130_fd_sc_hd__a41oi_1/B1,0.0023790000,input
sky130_fd_sc_hd__a41oi_1/Y,0.0695900000,output
